Time,Pos_x,Pos_y,Pos_z,Rot_x,Rot_y,Rot_z,Rot_w,Wind Speed,Wind Direction
1900-01-01T21:07:21,-1311.012207,1160.608765,749.288513,-0.207845,0.652714,0.690813,0.231391,2.28,24.0
1900-01-01T21:07:22,-1323.510376,1162.043091,630.804260,-0.237412,0.633077,0.685041,0.271234,2.69,38.0
1900-01-01T21:07:23,-1068.401489,1149.813354,549.162109,-0.206163,0.646614,0.698747,0.226142,3.21,48.0
1900-01-01T21:07:24,-888.314270,1140.424805,528.721741,-0.167010,0.659949,0.709894,0.180626,3.84,50.0
1900-01-01T21:07:25,-837.414734,1151.060669,686.356140,-0.131119,0.661019,0.721569,0.158746,3.18,43.0
1900-01-01T21:07:26,-801.033447,1154.501709,853.974670,-0.127451,0.663090,0.717678,0.170312,2.6,36.0
1900-01-01T21:07:27,-786.642822,1165.647705,735.393921,-0.177088,0.659647,0.697142,0.217945,3.53,36.0
1900-01-01T21:07:28,-748.608276,1147.925903,591.664856,-0.176230,0.651882,0.701104,0.229009,3.31,38.0
1900-01-01T21:07:29,-569.184143,1144.657349,521.508911,-0.141071,0.654140,0.718796,0.188501,3.44,31.0
1900-01-01T21:07:30,-441.910309,1146.343018,658.979065,-0.151318,0.655526,0.719337,0.173042,2.84,42.0
1900-01-01T21:07:31,-339.852234,1165.027710,660.848816,-0.185439,0.658818,0.696321,0.216122,2.86,15.0
1900-01-01T21:07:32,-251.072052,1159.411133,564.867004,-0.230814,0.642993,0.691383,0.235106,2.23,17.0
1900-01-01T21:07:33,-253.721893,1158.886108,481.433289,-0.202955,0.648541,0.698502,0.224273,2.54,16.0
1900-01-01T21:07:34,-420.984131,1169.235474,312.464264,-0.257797,0.629348,0.683823,0.264286,3.14,23.0
1900-01-01T21:07:35,-263.482513,1159.398315,204.024261,-0.272511,0.623323,0.681410,0.269975,3.39,45.0
1900-01-01T21:07:36,15.304493,1150.456909,140.223846,-0.208425,0.644336,0.700759,0.224338,2.92,52.0
1900-01-01T21:07:37,154.542191,1148.487915,295.670715,-0.149225,0.661123,0.710780,0.188257,0.98,40.0
1900-01-01T21:07:38,221.002151,1156.427368,391.603638,-0.147596,0.664223,0.707873,0.189578,1.4,32.0
1900-01-01T21:07:39,254.238007,1149.836670,212.145020,-0.172748,0.645885,0.710812,0.218489,2.13,27.0
1900-01-01T21:07:40,251.575378,1164.327148,44.617592,-0.201180,0.652295,0.693302,0.231019,2.77,35.0
